date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:53	81288/81288	---M-Z	200	added ('OK')	text/html	etag:%2213d88-61f787296a815-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-badges.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-badges.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:53	84932/84932	---M-Z	200	added ('OK')	text/html	etag:%2214bc4-61f787296a815-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-cards.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-cards.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:54	84599/84599	---M-Z	200	added ('OK')	text/html	etag:%2214a77-61f787296a815-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-carousels.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-carousels.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:54	100980/100980	---M-Z	200	added ('OK')	text/html	etag:%2218a74-61f787296a815-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-dropdowns.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-dropdowns.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:54	87269/87269	---M-Z	200	added ('OK')	text/html	etag:%22154e5-61f787296a815-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-grids.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-grids.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:54	71573/71573	---M-Z	200	added ('OK')	text/html	etag:%2211795-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-images.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-images.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:55	78468/78468	---M-Z	200	added ('OK')	text/html	etag:%2213284-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-list.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-list.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:55	135710/135710	---M-Z	200	added ('OK')	text/html	etag:%222121e-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-modals.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-modals.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:55	76986/76986	---M-Z	200	added ('OK')	text/html	etag:%2212cba-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-navs.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-navs.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:55	89830/89830	---M-Z	200	added ('OK')	text/html	etag:%2215ee6-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-navbar.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-navbar.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:56	78205/78205	---M-Z	200	added ('OK')	text/html	etag:%221317d-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-paginations.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-paginations.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:56	72514/72514	---M-Z	200	added ('OK')	text/html	etag:%2211b42-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-popover-tooltips.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-popover-tooltips.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:56	79793/79793	---M-Z	200	added ('OK')	text/html	etag:%22137b1-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-progress.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-progress.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:56	81909/81909	---M-Z	200	added ('OK')	text/html	etag:%2213ff5-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-spinners.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-spinners.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:57	98898/98898	---M-Z	200	added ('OK')	text/html	etag:%2218252-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-tabs-accordions.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-tabs-accordions.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:57	84885/84885	---M-Z	200	added ('OK')	text/html	etag:%2214b95-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-typography.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-typography.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:58	69505/69505	---M-Z	200	added ('OK')	text/html	etag:%2210f81-61f787296b7b5-gzip%22	https://mannatthemes.com/rizz/default-dark/ui-videos.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/ui-videos.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:58	83708/83708	---M-Z	200	added ('OK')	text/html	etag:%22146fc-61f787292c015-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-animation.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-animation.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:58	69484/69484	---M-Z	200	added ('OK')	text/html	etag:%2210f6c-61f787292c015-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-clipboard.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-clipboard.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:58	105585/105585	---M-Z	200	added ('OK')	text/html	etag:%2219c71-61f787292cfb5-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-dragula.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-dragula.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:59	128129/128129	---M-Z	200	added ('OK')	text/html	etag:%221f481-61f787292cfb5-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-files.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-files.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:59	68046/68046	---M-Z	200	added ('OK')	text/html	etag:%22109ce-61f787292cfb5-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-highlight.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-highlight.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:59	72969/72969	---M-Z	200	added ('OK')	text/html	etag:%2211d09-61f787292cfb5-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-rangeslider.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-rangeslider.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
08:35:59	78779/78779	---M-Z	200	added ('OK')	text/html	etag:%22133bb-61f787292cfb5-gzip%22	https://mannatthemes.com/rizz/default-dark/advanced-ratings.html	C:/Users/ADMIN/Downloads/dashboard/mannatthemes.com/rizz/default-dark/advanced-ratings.html	(from https://mannatthemes.com/rizz/default-dark/index.html)
